"","qty_tld_url","length_url","qty_vowels_domain","domain_length","domain_in_ip","directory_length","file_length","params_length","email_in_url","time_response","domain_spf","asn_ip","time_domain_activation","time_domain_expiration","qty_ip_resolved","qty_nameservers","qty_mx_servers","ttl_hostname","tls_ssl_certificate","qty_redirects","url_google_index","domain_google_index","url_shortened","phishing","total_dots","total_hyphens","total_underlines","total_commas","total_asterisks","total_slashes","total_equals","total_ats","total_ands","total_spaces","total_dollars","total_percents","total_exclamations","total_questionmarks","total_pluses","total_tildes","tld_present_parameters","directory_char_avb","params_char_avb","file_char_avb","time_domain_activation_avb","time_domain_expiration_avb","domain_spf_avb","domain_google_index_avb","time_response_avb","asn_ip_avb","qty_ip_resolved_avb","qty_redirects_avb","tld_present_parameters_avb","params_length_avb","file_length_avb","directory_length_avb"
"1",1,15,1,15,"0",-1,-1,-1,"0",1.553575,"0",45352,-1,-1,1,2,1,14379,"1",1,"0","0","0","0",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0"
"2",1,23,7,23,"0",-1,-1,-1,"0",1.033312,"0",13335,3422,229,2,2,1,300,"1",0,"0","0","0","0",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1","0","0","0","1","1","1","1","1","1","1","1","0","0","0","0"
"3",1,17,5,17,"0",-1,-1,-1,"0",-1,"0",-1,8710,54,2,4,5,297,"1",1,"0","0","0","0",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1","0","0","0","1","1","1","1","0","0","1","1","0","0","0","0"
"4",1,24,8,24,"0",-1,-1,-1,"0",0.536323,"0",24940,6909,3317,1,4,1,300,"1",1,"0","0","0","0",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1","0","0","0","1","1","1","1","1","1","1","1","0","0","0","0"
"5",1,15,5,15,"0",-1,-1,-1,"0",3.157664,"0",7474,-1,-1,1,6,3,43199,"1",1,"0","0","0","0",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0"
"6",1,9,4,9,"0",-1,-1,-1,"0",0.185558,"0",43405,-1,-1,1,2,8,7198,"1",0,"0","0","0","0",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0"
"7",1,23,7,23,"0",-1,-1,-1,"0",0.775875,"0",19994,6825,114,1,2,2,598,"1",1,"0","0","0","0",6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1","0","0","0","1","1","1","1","1","1","1","1","0","0","0","0"
"8",1,14,2,14,"0",-1,-1,-1,"0",0.55066,"0",19905,7488,180,1,2,1,7198,"0",0,"0","0","0","0",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-1","0","0","0","1","1","1","1","1","1","1","1","0","0","0","0"
"9",1,40,6,18,"0",22,16,-1,"0",0.213461,"0",13335,3123,163,2,2,0,299,"1",2,"0","0","0","0",4,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,"-1","1","0","1","1","1","1","1","1","1","1","1","0","0","1","1"
"10",1,14,2,13,"0",1,0,-1,"0",0.891667,"-1",15975,6562,11,1,2,2,14391,"0",0,"0","0","0","0",4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,"-1","1","0","1","1","1","0","1","1","1","1","1","0","0","1","1"
